INCOME,AGE_IN_YEARS,HAS_CHILDREN,RENTER,OWNER,GOOD_CREDIT,COLLEGE_DEGREE,AVG_DIST_FROM_HOME,MILLENIAL,MID_LEVEL_AUTO,DISTANCE_FROM_HOME,TRAVELER,TIME_OF_DAY,BUY_LABEL
37500.0044,41.97291499999999,1.0,0,1,1,0,33.6,0,1,16,0,6,BUY
87500.0015,51.807113,1.0,0,1,1,0,36.54,0,1,18,0,10,BUY
42500.0088,58.062188,1.0,1,0,0,0,25.2,0,1,33,0,11,BUY
250000.0097,54.815997,1.0,0,1,1,1,17.82,0,1,14,0,12,BUY
5000.0035,53.972015,1.0,0,1,0,1,26.52,0,1,21,0,11,BUY
37500.0074,40.565922,1.0,0,1,1,1,25.2,0,1,14,0,6,BUY
250000.0067,53.813682,1.0,0,1,1,1,58.5,0,1,27,0,11,BUY
42500.0028,40.971999000000004,1.0,0,1,1,0,51.3,0,1,9,0,9,BUY
57500.0067,52.395475000000005,1.0,0,0,1,0,10.620000000000001,0,1,8,0,11,BUY
22500.0032,44.810866,1.0,1,0,0,1,29.759999999999998,0,1,12,0,11,BUY
125000.001,35.472595,0.0,1,0,1,1,19.89,0,1,18,0,6,BUY
225000.0055,48.73103,1.0,0,1,1,0,52.56,0,1,7,0,15,BUY
80372.1819753994,39.728977,0.0,0,0,1,0,30.84,0,1,44,0,9,BUY
80372.17867539941,42.30747,0.0,0,1,0,0,10.34,0,1,7,0,18,BUY
87500.0059,55.310486,1.0,0,1,1,0,41.94,0,1,38,0,7,BUY
57500.0001,29.473064,1.0,0,1,1,0,20.41,1,1,23,0,8,BUY
32500.0059,80.73143,0.0,0,1,1,0,2.71,0,1,2,0,9,BUY
80372.18447539941,55.4520022177878,1.0,0,1,0,0,58.32000000000001,0,1,11,0,13,BUY
27500.0009,43.891386000000004,1.0,0,1,1,0,37.84,0,1,25,0,7,BUY
70000.0087,52.230466,1.0,0,1,1,1,18.0,0,1,42,0,11,BUY
52500.0088,45.648773,1.0,0,1,1,0,50.58,0,1,23,0,7,BUY
80372.1766753994,33.968714999999996,0.0,0,1,1,0,23.490000000000002,1,1,31,0,9,BUY
70000.0039,55.4479022177878,1.0,1,0,0,0,36.36,0,1,38,0,9,BUY
47500.0075,101.31345499999999,0.0,0,0,1,0,1.1,0,1,4,0,10,BUY
32500.004,41.392089999999996,0.0,0,1,0,0,4.88,0,1,4,0,15,BUY
57500.0096,48.398375,0.0,0,1,1,0,20.25,0,1,33,0,8,BUY
80372.1831753994,33.646673,0.0,0,0,1,0,18.6,1,1,31,0,10,BUY
70000.006,55.4500022177878,0.0,0,0,1,0,3.1900000000000004,0,1,9,0,10,BUY
70000.0087,39.313286,1.0,0,1,1,1,32.04,0,1,429,1,14,BUY
125000.0036,56.392375,1.0,0,1,1,0,27.9,0,1,39,0,7,BUY
42500.0069,44.14653,1.0,1,0,0,1,45.75,0,1,38,0,8,BUY
32500.0031,58.390506,0.0,0,1,1,0,2.1,0,1,4,0,7,BUY
87500.007,46.564153,0.0,0,1,1,0,44.25,0,1,16,0,13,BUY
87500.0052,59.142777,1.0,0,1,1,1,31.5,0,1,30,0,9,BUY
22500.0009,40.474548,0.0,1,0,0,0,2.88,0,1,6,0,16,BUY
32500.0084,69.566237,1.0,0,1,0,1,16.200000000000003,0,1,38,0,8,BUY
57500.0023,38.474579,0.0,0,1,1,0,18.479999999999997,0,1,278,1,6,BUY
250000.0085,55.313086,1.0,0,1,1,1,19.98,0,1,18,0,6,BUY
47500.0092,41.901055,1.0,0,1,1,1,46.44,0,1,17,0,8,BUY
